Day Of Week,Time,Travel Time (minutes)
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
Friday,08:30,28
